GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
com.desafio.serasa.experian,com.desafio.serasa.experian.documentacao,OpenApiConfig,3,0,0,0,1,0,1,0,1,0
com.desafio.serasa.experian,com.desafio.serasa.experian.domain.pessoa,PessoaFilterDTO.PessoaFilterDTOBuilder,72,0,0,0,1,0,10,0,10,0
com.desafio.serasa.experian,com.desafio.serasa.experian.domain.pessoa,Pessoa.PessoaBuilder,32,112,0,0,0,1,1,17,1,17
com.desafio.serasa.experian,com.desafio.serasa.experian.domain.pessoa,AtualizarPessoaRequestDto,195,19,38,0,3,6,28,6,9,6
com.desafio.serasa.experian,com.desafio.serasa.experian.domain.pessoa,Pessoa,510,112,99,1,17,12,71,19,21,19
com.desafio.serasa.experian,com.desafio.serasa.experian.domain.pessoa,SalvarPessoaRequestDto.SalvarPessoaRequestDtoBuilder,81,0,0,0,1,0,11,0,11,0
com.desafio.serasa.experian,com.desafio.serasa.experian.domain.pessoa,AtualizarPessoaRequestDto.AtualizarPessoaRequestDtoBuilder,45,0,0,0,1,0,7,0,7,0
com.desafio.serasa.experian,com.desafio.serasa.experian.domain.pessoa,PessoaFilterDTO,351,14,62,0,8,4,51,1,20,1
com.desafio.serasa.experian,com.desafio.serasa.experian.domain.pessoa,SalvarPessoaRequestDto,353,33,70,0,5,8,48,10,13,10
com.desafio.serasa.experian,com.desafio.serasa.experian.domain.pessoa,PessoaRole,3,25,0,0,1,4,1,2,1,2
com.desafio.serasa.experian,com.desafio.serasa.experian.database,DataInitializer,77,0,0,0,31,0,3,0,3,0
com.desafio.serasa.experian,com.desafio.serasa.experian,FraudSystemApplication,6,3,0,0,2,1,1,1,1,1
com.desafio.serasa.experian,com.desafio.serasa.experian.domain.endereco,Endereco,269,31,54,0,7,4,42,4,15,4
com.desafio.serasa.experian,com.desafio.serasa.experian.domain.endereco,EnderecoResponseApiDto.EnderecoResponseApiDtoBuilder,54,0,0,0,1,0,8,0,8,0
com.desafio.serasa.experian,com.desafio.serasa.experian.domain.endereco,EnderecoResponseApiDto,123,134,33,13,2,8,26,14,3,14
com.desafio.serasa.experian,com.desafio.serasa.experian.domain.endereco,Endereco.EnderecoBuilder,19,44,0,0,0,1,2,7,2,7
com.desafio.serasa.experian,com.desafio.serasa.experian.utils,PessoaUtils,0,167,4,12,0,50,4,10,0,6
com.desafio.serasa.experian,com.desafio.serasa.experian.domain.autenticador,LoginRequestDto,113,15,22,0,4,3,19,3,8,3
com.desafio.serasa.experian,com.desafio.serasa.experian.domain.autenticador,LoginResponseDto.LoginResponseDtoBuilder,18,0,0,0,1,0,4,0,4,0
com.desafio.serasa.experian,com.desafio.serasa.experian.domain.autenticador,LoginResponseDto,76,9,14,0,4,2,14,2,7,2
com.desafio.serasa.experian,com.desafio.serasa.experian.domain.autenticador,LoginRequestDto.LoginRequestDtoBuilder,27,0,0,0,1,0,5,0,5,0
com.desafio.serasa.experian,com.desafio.serasa.experian.exceptions,ErrorResponse,0,15,0,0,0,3,0,3,0,3
com.desafio.serasa.experian,com.desafio.serasa.experian.exceptions,CustomException,0,15,0,0,0,3,0,3,0,3
com.desafio.serasa.experian,com.desafio.serasa.experian.exceptions,GlobalExceptionHandler,0,92,0,0,0,22,0,6,0,6
com.desafio.serasa.experian,com.desafio.serasa.experian.services,AuthorizationService,0,36,0,2,0,10,0,4,0,3
com.desafio.serasa.experian,com.desafio.serasa.experian.services,PessoaServiceImpl,160,32,11,1,41,10,10,3,4,3
com.desafio.serasa.experian,com.desafio.serasa.experian.security,SecurityFilter,72,0,12,0,13,0,9,0,3,0
com.desafio.serasa.experian,com.desafio.serasa.experian.security,SecurityConfigurations,98,0,0,0,16,0,6,0,6,0
com.desafio.serasa.experian,com.desafio.serasa.experian.security,TokenService,135,6,6,0,39,3,11,1,8,1
com.desafio.serasa.experian,com.desafio.serasa.experian.controllers,PessoaController,0,50,0,0,0,10,0,8,0,8
com.desafio.serasa.experian,com.desafio.serasa.experian.controllers,AuthenticationController,0,42,0,0,0,9,0,4,0,4
